Historical data for use in plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name:  ,,,,,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Hist UKL,Hist Keno,7-dta_Keno,Hist Iron Gate,7-dta_IG,Hist LRDC inflow,Hist FFF to River,Hist D1,Hist D91,Hist D11,Hist D12A,Hist D12B,,,,,,,,Source: D:\Work\Modeling2022\Extend_POR_2023\Historic_ag_use_table_calcs_Dec2016_rev_16Mar2023_UPDATE.xlsx,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Year,WY,SS_INDEX_ag_D1,SS_INDEX_ag_D11_D12A,SS_INDEX_ag_D91,UKL level (ft),"Keno flow
(cfs)","7-day trailing average Keno flow 
(cfs)","Iron Gate flow
(cfs)","7-day trailing average Iron Gate flow 
(cfs)",LRDC inflow (cfs),F&FF to River (cfs),A Canal delivery (cfs),Sta 48 & Miller Hill net delivery (cfs),North Canal delivery (cfs),Ady to Project delivery (cfs),Ady to Refuge delivery (cfs),,,,,,,Year,"Total A1 diversion from UKL and LRDC inflow during SS
(taf)","Total A2 diversion from UKL and LRDC inflow SS (Mar-Sep)
(taf)",Water bank (taf),SS actual historic Project deliveries (taf; no water bank),Estimate of demand: SS actual historic Project diversions plus water bank (taf),Comment,"Oct-Feb historic Project diversions
(taf)","Historic total annual Project demand
(taf)",WY total Ady to Refuge delivery (taf),Dec-Feb (WY) total Ady to Refuge delivery (taf),Mar-Jul (WY) total Ady to Refuge delivery (taf),Aug-Nov (CY) total Ady to Refuge delivery (taf),,
10/1/1980,1980,1981,1,0,1,4139.38,986,986,1350,1350,239,49,591,0,25,117,0,,,,,,,1981,367,23,0,390,390,,30,420,26,0,14,13,,
10/2/1980,1980,1981,1,0,1,4139.35,992,989,1350,1350,238,72,591,0,22,106,0,,,,,,,1982,316,23,0,339,339,,33,372,10,0,7,3,,
10/3/1980,1980,1981,1,0,1,4139.31,998,992,1350,1350,235,77,571,0,26,126,0,,,,,,,1983,315,26,0,341,341,,34,375,10,0,5,7,,
10/4/1980,1980,1981,1,0,1,4139.31,998,994,1350,1350,205,132,545,0,29,79,0,,,,,,,1984,337,31,0,368,368,,33,401,10,0,6,3,,
10/5/1980,1980,1981,1,0,1,4139.3,998,994,1340,1348,169,132,521,-4,30,7,0,,,,,,,1985,373,30,0,403,403,,41,445,21,0,15,6,,
10/6/1980,1980,1981,1,0,1,4139.28,998,995,1340,1347,139,44,541,-12,10,8,0,,,,,,,1986,354,45,0,399,399,,48,447,21,2,10,11,,
10/7/1980,1980,1981,1,0,1,4139.26,992,995,1340,1346,134,44,571,-12,10,12,0,,,,,,,1987,373,46,0,419,419,,42,462,19,0,12,9,,
10/8/1980,1980,1981,1,0,1,4139.26,992,995,1340,1344,116,49,591,0,9,13,0,,,,,,,1988,375,48,0,423,423,,37,460,17,0,6,11,,
