Date,WRIMS_C1_Flow,Riverware_Klamath_Outflow,WRIMS_C15_Flow,Riverware_Keno_Outflow,WRIMS_cum_ag_UKL_SS_Delivery,Riverware_cum_ag_UKL_SS_Delivery,WRIMS_Supply,Riverware_Project_Supply_Accounting,WRIMS_OPS_Index,Riverware_OPS_Index,WRIMS_Shadow_Elev,Riverware_Shadow_Elev,WRIMS_UKL_Pool_Elevation,Riverware_UKL_Pool_Elevation,WRIMS_FFA,Riverware_FFA,WRIMS_UKL_PRJ_CREDIT,Riverware_DPSA
01Oct1981,937,629.7569091,1091,705.3207856,173480,180424.6821,252835.2827,194011.5646,0.34,0.529161606,4138.00,4141.798772,4138.09,4141.799759,0.00,0,0.00,0
02Oct1981,889,665.7992331,1056,765.2771957,173730,180674.5995,252835.2827,194011.5646,0.34,0.621037765,4138.00,4141.801229,4138.10,4141.802847,62.67,88.57165886,0.00,0
03Oct1981,847,748.0280308,1067,809.1684807,173980,180924.5168,252835.2827,194011.5646,0.34,0.622348478,4138.00,4141.800294,4138.11,4141.802544,136.25,233.8243844,0.00,0
04Oct1981,822,830.2777648,1060,836.4848778,174230,181174.4342,252835.2827,194011.5646,0.34,0.622819601,4138.00,4141.802896,4138.13,4141.805777,220.34,435.7711754,0.00,0
05Oct1981,815,788.3536094,1060,844.0440623,174480,181424.3515,252835.2827,194011.5646,0.34,0.623659995,4138.00,4141.804463,4138.15,4141.807976,314.86,694.4088368,0.00,0
06Oct1981,817,836.1938112,1037,842.3425916,174730,181674.2689,252835.2827,194011.5646,0.33,0.62411281,4138.00,4141.80071,4138.17,4141.804854,409.15,1009.72134,0.00,0
07Oct1981,835,767.2187967,1087,811.928016,174939,181882.5333,252835.2827,194011.5646,0.33,0.623484762,4138.00,4141.78619,4138.18,4141.790965,503.19,1381.694559,0.00,0
08Oct1981,845,797.8513791,1126,799.1689357,175147,182090.7978,252835.2827,194011.5646,0.33,0.620880167,4138.00,4141.78763,4138.19,4141.793036,596.94,1810.347055,0.00,0
09Oct1981,818,753.1986939,1095,826.1495837,175355,182299.0623,252835.2827,194011.5646,0.33,0.620852031,4138.00,4141.79268,4138.20,4141.798718,690.09,2295.676885,0.00,0
10Oct1981,792,717.4422056,1107,852.4639322,175563,182507.3267,252835.2827,194011.5646,0.33,0.621310411,4138.00,4141.798688,4138.20,4141.805357,783.13,2837.683335,0.00,0
11Oct1981,771,789.7402912,1126,873.8245253,175771,182715.5912,252835.2827,194011.5646,0.33,0.621839827,4138.00,4141.811196,4138.21,4141.818411,876.15,3436.376209,0.00,0
12Oct1981,793,756.6843771,1075,873.8772587,175899,182842.5333,252835.2827,194011.5646,0.33,0.623408255,4138.00,4141.827768,4138.22,4141.835608,969.22,4091.761927,0.00,0
13Oct1981,799,779.4425149,1061,870.3187336,176027,182969.4755,252835.2827,194011.5646,0.33,0.625614478,4138.00,4141.845847,4138.23,4141.85431,1062.60,4803.828676,0.00,0
14Oct1981,815,724.660543,1053,854.8700997,176155,183096.4176,252835.2827,194011.5646,0.34,0.628071767,4138.00,4141.861412,4138.25,4141.870495,1156.41,5572.481795,0.00,0
15Oct1981,825,716.9303012,1053,847.1315225,176283,183223.3598,252835.2827,194011.5646,0.34,0.630139842,4138.00,4141.871376,4138.25,4141.881077,1250.74,6397.508448,0.00,0
16Oct1981,818,749.7976182,1045,855.0946672,176410,183350.3019,252835.2827,194011.5646,0.34,0.631765409,4138.00,4141.882185,4138.26,4141.892501,1345.55,7278.641803,0.00,0
17Oct1981,833,741.4830348,1043,837.3759822,176410,183350.3019,252835.2827,194011.5646,0.35,0.633996598,4138.00,4141.89314,4138.27,4141.904066,1440.74,8215.615853,0.00,0
18Oct1981,859,692.3598327,1040,813.6777899,176410,183350.3019,252835.2827,194011.5646,0.35,0.63635238,4138.00,4141.902938,4138.27,4141.914413,1536.66,9207.984834,0.00,0
