A Canal delivery (cfs),Date
591,1980-10-01T00:00:00Z
591,1980-10-02T00:00:00Z
571,1980-10-03T00:00:00Z
545,1980-10-04T00:00:00Z
521,1980-10-05T00:00:00Z
541,1980-10-06T00:00:00Z
571,1980-10-07T00:00:00Z
591,1980-10-08T00:00:00Z
576,1980-10-09T00:00:00Z
562,1980-10-10T00:00:00Z
560,1980-10-11T00:00:00Z
537,1980-10-12T00:00:00Z
475,1980-10-13T00:00:00Z
397,1980-10-14T00:00:00Z
123,1980-10-15T00:00:00Z
0,1980-10-16T00:00:00Z
0,1980-10-17T00:00:00Z
0,1980-10-18T00:00:00Z
0,1980-10-19T00:00:00Z
0,1980-10-20T00:00:00Z
0,1980-10-21T00:00:00Z
0,1980-10-22T00:00:00Z
0,1980-10-23T00:00:00Z
0,1980-10-24T00:00:00Z
0,1980-10-25T00:00:00Z
0,1980-10-26T00:00:00Z
0,1980-10-27T00:00:00Z
0,1980-10-28T00:00:00Z
0,1980-10-29T00:00:00Z
0,1980-10-30T00:00:00Z
0,1980-10-31T00:00:00Z
0,1980-11-01T00:00:00Z
0,1980-11-02T00:00:00Z
0,1980-11-03T00:00:00Z
0,1980-11-04T00:00:00Z
0,1980-11-05T00:00:00Z
0,1980-11-06T00:00:00Z
0,1980-11-07T00:00:00Z
0,1980-11-08T00:00:00Z
0,1980-11-09T00:00:00Z
0,1980-11-10T00:00:00Z
0,1980-11-11T00:00:00Z
0,1980-11-12T00:00:00Z
0,1980-11-13T00:00:00Z
0,1980-11-14T00:00:00Z
0,1980-11-15T00:00:00Z
0,1980-11-16T00:00:00Z
0,1980-11-17T00:00:00Z
0,1980-11-18T00:00:00Z
0,1980-11-19T00:00:00Z
0,1980-11-20T00:00:00Z
0,1980-11-21T00:00:00Z
0,1980-11-22T00:00:00Z
0,1980-11-23T00:00:00Z
0,1980-11-24T00:00:00Z
0,1980-11-25T00:00:00Z
0,1980-11-26T00:00:00Z
0,1980-11-27T00:00:00Z
0,1980-11-28T00:00:00Z
0,1980-11-29T00:00:00Z
0,1980-11-30T00:00:00Z
0,1980-12-01T00:00:00Z
0,1980-12-02T00:00:00Z
0,1980-12-03T00:00:00Z
0,1980-12-04T00:00:00Z
0,1980-12-05T00:00:00Z
0,1980-12-06T00:00:00Z
0,1980-12-07T00:00:00Z
0,1980-12-08T00:00:00Z
0,1980-12-09T00:00:00Z
0,1980-12-10T00:00:00Z
0,1980-12-11T00:00:00Z
0,1980-12-12T00:00:00Z
0,1980-12-13T00:00:00Z
0,1980-12-14T00:00:00Z
0,1980-12-15T00:00:00Z
0,1980-12-16T00:00:00Z
0,1980-12-17T00:00:00Z
0,1980-12-18T00:00:00Z
0,1980-12-19T00:00:00Z
0,1980-12-20T00:00:00Z
0,1980-12-21T00:00:00Z
0,1980-12-22T00:00:00Z
0,1980-12-23T00:00:00Z
0,1980-12-24T00:00:00Z
0,1980-12-25T00:00:00Z
0,1980-12-26T00:00:00Z
0,1980-12-27T00:00:00Z
0,1980-12-28T00:00:00Z
0,1980-12-29T00:00:00Z
0,1980-12-30T00:00:00Z
0,1980-12-31T00:00:00Z
0,1981-01-01T00:00:00Z
0,1981-01-02T00:00:00Z
0,1981-01-03T00:00:00Z
0,1981-01-04T00:00:00Z
0,1981-01-05T00:00:00Z
0,1981-01-06T00:00:00Z
0,1981-01-07T00:00:00Z
0,1981-01-08T00:00:00Z
0,1981-01-09T00:00:00Z
0,1981-01-10T00:00:00Z
0,1981-01-11T00:00:00Z
0,1981-01-12T00:00:00Z
0,1981-01-13T00:00:00Z
0,1981-01-14T00:00:00Z
0,1981-01-15T00:00:00Z
0,1981-01-16T00:00:00Z
0,1981-01-17T00:00:00Z
0,1981-01-18T00:00:00Z
0,1981-01-19T00:00:00Z
0,1981-01-20T00:00:00Z
0,1981-01-21T00:00:00Z
0,1981-01-22T00:00:00Z
0,1981-01-23T00:00:00Z
0,1981-01-24T00:00:00Z
0,1981-01-25T00:00:00Z
0,1981-01-26T00:00:00Z
0,1981-01-27T00:00:00Z
0,1981-01-28T00:00:00Z
0,1981-01-29T00:00:00Z
0,1981-01-30T00:00:00Z
0,1981-01-31T00:00:00Z
0,1981-02-01T00:00:00Z
0,1981-02-02T00:00:00Z
0,1981-02-03T00:00:00Z
0,1981-02-04T00:00:00Z
0,1981-02-05T00:00:00Z
0,1981-02-06T00:00:00Z
0,1981-02-07T00:00:00Z
0,1981-02-08T00:00:00Z
0,1981-02-09T00:00:00Z
0,1981-02-10T00:00:00Z
0,1981-02-11T00:00:00Z
0,1981-02-12T00:00:00Z
0,1981-02-13T00:00:00Z
0,1981-02-14T00:00:00Z
0,1981-02-15T00:00:00Z
0,1981-02-16T00:00:00Z
0,1981-02-17T00:00:00Z
0,1981-02-18T00:00:00Z
0,1981-02-19T00:00:00Z
0,1981-02-20T00:00:00Z
0,1981-02-21T00:00:00Z
0,1981-02-22T00:00:00Z
0,1981-02-23T00:00:00Z
0,1981-02-24T00:00:00Z
0,1981-02-25T00:00:00Z
0,1981-02-26T00:00:00Z
0,1981-02-27T00:00:00Z
0,1981-02-28T00:00:00Z
0,1981-03-01T00:00:00Z
0,1981-03-02T00:00:00Z
0,1981-03-03T00:00:00Z
0,1981-03-04T00:00:00Z
0,1981-03-05T00:00:00Z
0,1981-03-06T00:00:00Z
0,1981-03-07T00:00:00Z
0,1981-03-08T00:00:00Z
0,1981-03-09T00:00:00Z
0,1981-03-10T00:00:00Z
0,1981-03-11T00:00:00Z
0,1981-03-12T00:00:00Z
0,1981-03-13T00:00:00Z
0,1981-03-14T00:00:00Z
0,1981-03-15T00:00:00Z
0,1981-03-16T00:00:00Z
0,1981-03-17T00:00:00Z
0,1981-03-18T00:00:00Z
0,1981-03-19T00:00:00Z
0,1981-03-20T00:00:00Z
0,1981-03-21T00:00:00Z
0,1981-03-22T00:00:00Z
